order_id,pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,order_hour,day_of_week,is_weekend,is_peak_hour,weather,traffic_density,rider_experience_days,num_items,delivery_time_min
ORD100045,12.983188279952389,77.60383542941022,12.965608821554616,77.6026522464298,1.959,14,2,0,0,cloudy,medium,352.9,1,15.51
ORD111289,12.984749221488054,77.61150913465241,12.975889121524371,77.61246632201885,0.991,8,4,0,0,clear,high,183.5,5,14.63
ORD114569,12.974402906101473,77.603474808186,12.979155355947727,77.5915154092214,1.399,8,5,1,0,clear,low,289.8,3,10.16
ORD114369,12.987287202464671,77.60179530305388,12.99488211091934,77.59256682124392,1.309,18,0,0,0,clear,high,163.6,8,15.49
ORD105738,12.9613652247267,77.60546671295795,12.972761506575226,77.59447396189181,1.739,11,3,0,0,clear,low,210.2,5,10.31
ORD130450,12.982459551482762,77.59699570173522,12.96936619667414,77.59456139643635,1.48,23,0,0,0,rain,low,22.7,2,14.84
ORD108854,12.97686430387517,77.59269963542945,12.962529164213178,77.58458740118795,1.82,12,3,0,1,clear,high,681.7,1,15.53
ORD114639,12.982355319308596,77.60401198906844,12.983353710657603,77.58322996946815,2.255,3,3,0,0,cloudy,low,31.3,3,14.67
ORD117825,12.984999221198764,77.61440164054194,12.965935188464568,77.60030419333714,2.613,8,2,0,0,clear,high,82.4,3,19.31
ORD113397,12.976837351679661,77.59915149288777,12.966803648186978,77.58061050218006,2.298,20,1,0,1,clear,medium,615.5,5,17.65
ORD121516,12.966953122230997,77.59173073938423,12.994815754354025,77.59436647578636,3.111,0,1,0,0,clear,medium,16.7,3,18.62
ORD100981,12.986981927131103,77.59556506560845,12.969699396997923,77.59262604789508,1.948,10,6,1,0,cloudy,medium,107.8,1,14.5
ORD100125,12.97494877260192,77.60092473882389,12.975765255419306,77.60801510861938,0.774,6,5,1,0,cloudy,high,183.8,2,16.38
ORD110955,12.99005629407168,77.58890434158187,12.96939565865492,77.60017053105908,2.602,15,2,0,0,cloudy,medium,244.6,5,17.43
ORD108743,12.961887640399432,77.59130963783949,12.978418350261494,77.60729486984212,2.526,18,2,0,0,clear,medium,192.5,2,16.08
ORD101609,12.978900417011157,77.58052203800398,12.992736972360072,77.58533402403006,1.624,6,5,1,0,clear,low,372.5,4,11.42
ORD114136,12.971034817958637,77.59557986986181,12.979065911258202,77.58004778586266,1.905,15,5,1,0,clear,high,153.3,5,15.43
ORD113581,12.964662936179453,77.60409681739169,12.967743051511412,77.58143966004093,2.479,15,1,0,0,clear,medium,71.1,1,16.43
ORD132762,12.96318311839031,77.59416037181705,12.993460386071858,77.60206278068127,3.474,3,5,1,0,cloudy,high,82.6,7,28.77
ORD113570,12.965083150417673,77.61126910805685,12.968440041710615,77.61496896729136,0.548,1,5,1,0,cloudy,medium,321.0,5,10.0
ORD104352,12.974494937387549,77.58961524824488,12.980555843387922,77.5935491559865,0.797,16,6,1,0,cloudy,low,338.9,2,7.66
ORD132722,12.962362368585474,77.59774879738009,12.991433004391947,77.60510675078707,3.329,16,5,1,0,cloudy,high,43.3,3,25.07
ORD132570,12.962099093032641,77.60024193572907,12.98589400208706,77.61301677821154,2.986,14,4,0,0,cloudy,medium,75.2,4,22.71
ORD132754,12.989697465655462,77.60014336381468,12.97039471576726,77.61260045783418,2.536,19,4,0,1,storm,high,270.1,4,32.65
ORD104647,12.968831015764732,77.59419886734405,12.974275502636011,77.60216880441148,1.055,14,2,0,0,clear,low,33.0,2,9.76
ORD132746,12.968562563737366,77.59745408486184,12.98941002162408,77.595533666269,2.327,13,1,0,1,rain,medium,32.1,3,22.76
ORD107162,12.98202267175529,77.5888709487449,12.967087582695743,77.61235730200012,3.039,20,6,1,1,clear,low,92.4,1,21.93
